単語,読み仮名,読み上げ用,使用範囲,JUMANカテゴリ,評価極性
行員,コウイン,コウイン,7,人,-
挽き肉,ヒキニク,ヒキニク,8,人工物-食べ物,-
一堂,イチドウ,イチドウ,9,場所-その他,-
観衆,カンシュウ,カンシュウ,8,人,p
モルヒネ,モルヒネ,モルヒネ,9,人工物-その他,-
体液,タイエキ,タイエキ,7,自然物,e
社殿,シャデン,シャデン,7,場所-施設,-
異邦,イホウ,イホウ,8,場所-その他,-
雑煮,ゾウニ,ゾウニ,7,人工物-食べ物,-
藍,アイ,アイ,10,植物,-
各紙,カクシ,カクシ,10,組織・団体,-
売れっ子,ウレッコ,ウレッコ,9,人,-
図版,ズハン,ズハン,8,人工物-その他;抽象物,-
トースター,トースター,トースター,7,人工物-その他,-
生塵,ナマゴミ,ナマゴミ,7,人工物-その他,-
海藻,カイソウ,カイソウ,7,植物;人工物-食べ物,-
ハンマー,ハンマー,ハンマー,9,人工物-その他,e
下院,カイン,カイン,8,組織・団体;場所-施設,-
香炉,コウロ,コウロ,7,人工物-その他,-
落ち葉,オチバ,オチバ,9,植物-部位,-
切り身,キリミ,キリミ,7,人工物-食べ物,-
ゼネコン,ゼネコン,ゼネコン,8,組織・団体,-
作り手,ツクリテ,ツクリテ,10,人,-
王冠,オウカン,オウカン,7,人工物-衣類,-
願書,ガンショ,ガンショ,9,人工物-その他,-
金物,カナモノ,カナモノ,9,人工物-その他,-
茣蓙,ゴザ,ゴザ,8,人工物-その他,-
穂先,ホサキ,ホサキ,8,植物-部位,-
埠頭,フトウ,フトウ,7,場所-施設,-
卓上,タクジョウ,タクジョウ,9,場所-その他,-
烏帽子,エボシ,エボシ,7,人工物-衣類,-
原典,ゲンテン,ゲンテン,10,人工物-その他;抽象物,-
合金,ゴウキン,ゴウキン,10,自然物,-
浄水,ジョウスイ,ジョウスイ,9,自然物,-
神棚,カミダナ,カミダナ,8,場所-施設部位,-
骨髄,コツズイ,コツズイ,9,動物-部位,-
パイオニア,パイオニア,パイオニア,8,人,p
べた,ベタ,ベタ,8,植物-部位,-
肉屋,ニクヤ,ニクヤ,7,組織・団体,-
鉄分,テツブン,テツブン,7,自然物,-
沼地,ヌマチ,ヌマチ,8,場所-自然,-
石膏,セッコウ,セッコウ,8,人工物-その他,-
水際,ミズギワ,ミズギワ,9,場所-自然,-
暗鬼,アンキ,アンキ,10,人;抽象物,-
鉄鉱,テッコウ,テッコウ,9,自然物,-
アウトドア,アウトドア,アウトドア,8,場所-その他,e
水底,スイテイ,スイテイ,8,場所-自然,-
ファミコン,ファミコン,ファミコン,7,人工物-その他,-
布巾,フキン,フキン,7,人工物-その他,-
地所,ジショ,ジショ,7,場所-その他,-
行間,ギョウカン,ギョウカン,10,場所-その他,-
遊郭,ユウカク,ユウカク,8,場所-施設,-
産品,サンヒン,サンヒン,8,人工物-その他,-
白日,ハクジツ,ハクジツ,7,自然物,-
建て売り,タテウリ,タテウリ,10,場所-施設;抽象物,-
裏山,ウラヤマ,ウラヤマ,8,場所-自然,-
日雇い,ヒヤトイ,ヒヤトイ,8,人;抽象物,-
海浜,カイヒン,カイヒン,10,場所-自然,-
目薬,メグスリ,メグスリ,8,人工物-その他,-
焼き蕎麦,ヤキソバ,ヤキソバ,7,人工物-食べ物,-
稚児,チゴ,チゴ,7,人,-
アース,アース,アース,7,人工物-その他,-
通り道,トオリミチ,トオリミチ,10,場所-その他,-
行者,ギョウジャ,ギョウジャ,7,人,-
幼子,オサナゴ,オサナゴ,7,人,-
仏閣,ブッカク,ブッカク,8,場所-施設,-
軒先,ノキサキ,ノキサキ,9,場所-その他,-
茨,イバラ,イバラ,8,植物,-
無色,ムショク,ムショク,9,色,-
カリウム,カリウム,カリウム,7,自然物,-
喉元,ノドモト,ノドモト,8,動物-部位,-
肌着,ハダギ,ハダギ,8,人工物-衣類,-
地場,ジバ,ジバ,9,場所-その他,-
岩礁,ガンショウ,ガンショウ,7,自然物,-
継母,ママハハ,ママハハ,7,人,-
水門,スイモン,スイモン,9,場所-施設,-
主事,シュジ,シュジ,9,人,-
氏神,ウジガミ,ウジガミ,7,人,e
左岸,サガン,サガン,10,場所-自然,-
盟友,メイユウ,メイユウ,8,人,-
サリン,サリン,サリン,8,人工物-その他,-
新手,アラテ,アラテ,9,人,-
パンダ,パンダ,パンダ,8,動物,-
県境,ケンザカイ,ケンザカイ,10,場所-その他,-
